name,code,state,zone,address,latitude,longitude
TIRUMANTHIKUNAM,TMU,Tamil Nadu,SR,"Nagappattinam - Trichy - Karur- Coimbatore - Mettupalayam - Ooty - Gundlupet Road(Vandikara Street), Tamil Nadu",10.767733999999999,79.534339
PURA HALT,PURA,,,,24.815193999999998,85.239725
Tamuria,TMA,Bihar,ECR,"Bihar, Bihar",26.245715,86.352761
Temburu,TMB,Andhra Pradesh,ECoR,"Paralakhemundi, Andhra Pradesh",18.633565,84.12696299999999
SILAKHEDI,SKBN,,,,23.093053,76.057298
SWAMIMALAI,SWI,Tamil Nadu,SR,"Swamimalai, Tamil Nadu",10.942234,79.32878500000001
RANYAL JASMIYA,RCJ,Madhya Pradesh,WR,"Devas, Madhya Pradesh",23.161929,76.072554
VIVEKA VIHAR,VVB,Delhi NCT,NR,"Jhilmil Industrial Area, Delhi NCT",28.673319000000003,77.31951000000001
DUVRI KALAN,BARD,Madhya Pradesh,WCR,"State Highway 9, Madhya Pradesh",23.994180999999998,81.507968
GAUSHALA,GWS,Uttarakhand,NER,"National Highway 121, Uttarakhand",29.298626000000002,79.009802
NAOJAN,NJN,Assam,NFR,"local Rd, Assam",26.13131,93.846465
KAKINADA TOWN,CCT,Andhra Pradesh,SCR,"East Godavari, Andhra Pradesh",16.9670099,82.2329218
MOKHASA KALVPDI,MVP,Andhra Pradesh,SCR,"Putlacheruvu, Andhra Pradesh",16.495533000000002,81.13029
DIBRUGARH TOWN,DBRT,Assam,NFR,"Dibrugarh, Assam",27.4781132774,94.9019739417
NAGERCOIL TOWN,NJT,Tamil Nadu,SR,"Nagercoil, Tamil Nadu",8.199571810899998,77.4194318207
MAHADANAPURAM,MMH,Tamil Nadu,SR,"Nagappattinam - Gundlupet Road(Vandikara Street), Tamil Nadu",10.953711,78.299178
HANWANT,HWT,Rajasthan,NWR,"Basni, Rajasthan",26.059514,73.005205
Gwalior NG,GWO,Madhya Pradesh,NCR,"Gwalior, Madhya Pradesh",26.216473,78.182282
Kulthamabdullashah Halt,KASH,Punjab,NR,"Kulthamabdullashah, Punjab",31.203335000000003,75.848386
Bamsin,BMSN,Rajasthan,NWR,"SH 66, Rajasthan",25.762982552100002,72.5442353925
Dhaca Cantt.,DHCA,Bangladesh,?,"Dhaka, Bangladesh",23.815527,90.410617
Suprakandi,SAKD,,,,24.788432999999998,92.37868
Khairranji,KRRI,,,,22.419012000000002,80.03937900000001
Ramachandrapur,RCP,Uttar Pradesh,NR,"Lucknow Allahabad Rd, Uttar Pradesh",25.996484000000002,81.267274
Gauntra Halt,GNTR,Uttar Pradesh,NR,"Gauntra, Uttar Pradesh",27.134445803800002,80.21785643429999
Navi Amravati,NAVI,,,,20.902137,77.732428
Fatehnagar,FAN,Rajasthan,NWR,"Fatehnagar, Rajasthan",24.81828,74.09578200000001
Chhuchhapura Junction,CCP,Gujarat,WR,"SH 159, Gujarat",22.214729000000002,73.594519
Chhapra Kacheri Jn.,CIF,,,,25.786151,84.746619
Chicholi,CCO,,,,21.458741,79.702691
Bhairgachhi,BHGH,West Bengal,ER,"Ranaghat-Bagula Bypass, West Bengal",23.274779,88.634016
Bhoma,BHV,Madhya Pradesh,SECR,"State Highway 11A, Madhya Pradesh",22.171372,79.689457
WADWAL NAGNATH,WDLN,Maharashtra,SCR,"Wadwal Nagnath, Maharashtra",18.538466,76.80741
BABA RAGHUNI HALT DWARIKA,BRHD,,,,25.7600467439,86.5967982178
TSAKIBANDA,TKBN,Andhra Pradesh,SWR,"Rayalaseema Region, Andhra Pradesh",15.163457000000001,77.178109
KARAPGAON,KFY,Madhya Pradesh,WCR,"National Highway 26, Madhya Pradesh",22.9155569073,78.9845402875
SOBHAPUR,SXF,Madhya Pradesh,WCR,"State Highway 22, Madhya Pradesh",22.727429,78.29188099999999
BANASANKARAI HA,BNK,Karnataka,SWR,"National Highway 206, Karnataka",13.2656079329,76.5230602795
Boxirhat,BXHT,,,,26.307287000000002,89.751593
MAHRAULI,MFH,,,,28.663865,77.468815
ADHYATMIK NAGAR,AKNR,,,,28.679874,77.49972700000001
DASNA,DS,,,,28.690718999999998,77.528116
PILKHUA,PKW,,,,28.712335,77.668008
KASTLA KASAMBAD,KKMB,,,,28.7210709953,77.7102953784
HAPUR,HPU,,,,28.739613,77.77957599999999
BABUGARH,BBO,,,,28.747393000000002,77.855523
KUCHESAR ROAD,QXR,,,,28.746651,77.913232
SIKHERA MB HALT,SKHR,,,,28.7567148575,77.9499696448
SIMBHOOLI,SMBL,,,,28.765190999999998,77.98347199999999
GARHMUKTESAR,GMS,,,,28.781743,78.07350799999999
GARHMUKTESAR BR,GGB,,,,28.761399945399997,78.1412204187
KANKATHER,KHE,,,,28.8013612636,78.180192128
GAJRAULA JN,GJL,,,,28.834937999999998,78.250784
MAHESRA,MHHR,,,,28.856392,78.330321
KAFURPUR,KFPR,,,,28.8654124385,78.3593320288
AMROHA,AMRO,,,,28.892688,78.474329
KAIALSA,KIV,,,,28.8802519228,78.5605679086
CHAK KALI LAIT,CKLT,,,,28.874271,78.611771
HAKIMPUR,HKP,,,,28.8794821589,78.65886363950001
LODIPUR BISHANPUR,LDP,,,,28.872301720499998,78.7090987616
LODIPUR BISHANP,LPB,,,,28.869781,78.71802799999999
